tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons	other_vowel_ending	line	column	has_pronominal_suffix	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
90	MT	Genesis	1	6	BDL[	MBDJL	BDJL	CCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	מבדיל		-	-	0	0	0	0	nnnn	nnnn	last	J	1
182	MT	Genesis	1	11	DC>[	TDC>	DC>	CCM	CCCM	hif	impf	sg	f	p3	verb					nnnn	nnnn	תדשא		-	-	0	0	0	0	nnn	nnn	last		0
187	MT	Genesis	1	11	ZR<[	MZRJ<	ZRJ<	CCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	מזריע		-	-	0	0	0	0	nnnn	nnnn	last	J	1
210	MT	Genesis	1	12	ZR<[	MZRJ<	ZRJ<	CCMC	CCCMC	hif	ptca	sg	m	unknown	verb					nnnnn	nnnnn	מזריע		-	-	0	0	0	0	nnnn	nnnn	last	J	1
246	MT	Genesis	1	14	BDL[	HBDJL	BDJL	CCMC	CCCMC	hif	infc		unknown	unknown	verb				L	nnnnn	nnnnn	הבדיל		-	-	0	1	0	0	nnnn	nnnn	last	J	1
275	MT	Genesis	1	15	>WR[	H>JR	>JR	CMC	CCMC	hif	infc		unknown	unknown	verb				L	nnnn	nnnn	האיר		-	-	0	1	0	0	nnn	nnn	last	J	1
323	MT	Genesis	1	17	>WR[	H>JR	>JR	CMC	CCMC	hif	infc		unknown	unknown	verb				L	nnnn	nnnn	האיר		-	-	0	1	0	0	nnn	nnn	last	J	1
339	MT	Genesis	1	18	BDL[	HBDJL	BDJL	CCMC	CCCMC	hif	infc		unknown	unknown	verb				WL	nnnnn	nnnnn	הבדיל		-	-	0	1	0	0	nnnn	nnnn	last	J	1
764	MT	Genesis	2	5	MVR[	HMVJR	MVJR	CCMC	CCCMC	hif	perf	sg	m	p3	verb					nnnnn	nnnnn	המטיר		-	-	0	0	0	0	nnnn	nnnn	last	J	1
1283	MT	Genesis	3	6	FKL[	HFKJL	FKJL	CCMC	CCCMC	hif	infc		unknown	unknown	verb				L	nnnnn	nnnnn	השכיל		-	-	0	1	0	0	nnnn	nnnn	last	J	1
1373	MT	Genesis	3	11	NGD[	HGJD	GJD	CMC	CCMC	hif	perf	sg	m	p3	verb					nnnn	nnnn	הגיד		-	-	0	0	0	0	nnn	nnn	last	J	1
1422	MT	Genesis	3	13	NC>=[	HCJ>NJ	CJ>	CMC	CCMCCM	hif	perf	sg	m	p3	verb	NJ				nnnnnn	nnnnnn	השיאני		-	-	1	0	0	0	nnn	nnn	last	J	1
1534	MT	Genesis	3	18	YMX[	TYMJX	YMJX	CCMC	CCCMC	hif	impf	sg	f	p3	verb					nnnnn	nnnnn	תצמיח		-	-	0	0	0	0	nnnn	nnnn	last	J	1
1721	MT	Genesis	4	4	BW>[	HBJ>	BJ>	CMM	CCMM	hif	perf	sg	m	p3	verb					nnnn	nnnn	הביא		-	-	0	0	0	0	nnn	nnn	last	J	1
